start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(5, 5):(0, 0)|(5, 5):1:0xbfdd7d","(23, 35):(0, 0)|(23, 35):29:0xc0000000180000080000000100000000500000000400400000801c0000000240000001dc0000004480000c07e000004078100030000600000000131b0000786400001b00c00001602f00001c014000010560000003700000007000000004000000",survival,0,5,5,23,35,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdd7e","(44, 19):(0, 0)|(44, 19):13:0x4000140006c000580067000040001000060000060000c0003000040000000000040000a000180000000000000000000000000000000060000c000000000400c0801810000000000060000c180002800050000e000180000800050000a00388006c00018001f000",survival,0,5,5,44,19,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdd9f","(14, 38):(0, 0)|(14, 38):4:0x8004000002003000000818a0000000a000000e39000004000000003808000000b020000000c080000003000000010900000008040000002520000018970000006000",survival,0,5,5,14,38,99
"(5, 5):(0, 0)|(5, 5):1:0xbfddb7","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,5,5,3,1,27
"(5, 5):(0, 0)|(5, 5):1:0xbfddbb","(22, 35):(0, 0)|(22, 35):10:0xc38600001800c00000000000000000000000000000c0000018340000058c4000011b8000000380c70718001c8a2700010d584000e0280e01980880cc1802a8030000e3800000028000000c018000011b1000002222000002c6800000202000",survival,0,5,5,22,35,99
"(5, 5):(0, 0)|(5, 5):1:0xbfddbd","(18, 20):(0, 0)|(18, 20):7:0x1c000240c0062000011058050880608cea1a15b08d920704e060541c0382201041000010008d0000800050000",survival,0,5,5,18,20,99
"(5, 5):(0, 0)|(5, 5):1:0xbfddbe","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,5,5,1,3,34
"(5, 5):(0, 0)|(5, 5):1:0xbfddd7","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
"(5, 5):(0, 0)|(5, 5):1:0xbfdddb","(22, 35):(0, 0)|(22, 35):10:0xc38600001800c00000000000000000000000000000c0000018340000058c4000011b8000000380c70718001c8a2700010d584000e0280e01980880cc1802a8030000e3800000028000000c018000011b1000002222000002c6800000202000",survival,0,5,5,22,35,99
"(5, 5):(0, 0)|(5, 5):1:0xbfdddd","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,5,5,4,3,5
"(5, 5):(0, 0)|(5, 5):1:0xbfddf3","(20, 29):(0, 0)|(20, 29):18:0x2000000100000008000000000000000038000003700060064103000a14000010a0000222000010800000c40080004404182090212480800920280030900000024000000c00000",survival,0,5,5,20,29,99
"(5, 5):(0, 0)|(5, 5):1:0xbfddf5","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,5,5,2,2,40
"(5, 5):(0, 0)|(5, 5):1:0xbfddf6","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,5,5,7,7,12
