start_gameboard,end_gameboard,exit_criteria,periodicity,rows,cols,max_height,max_width,runs
"(4, 4):(0, 0)|(4, 4):1:0x777e","(7, 7):(0, 0)|(7, 7):2:0x70041830401c",oscillator,2,4,4,7,7,13
"(4, 4):(0, 0)|(4, 4):1:0x777f","(21, 33):(0, 0)|(21, 33):9:0xc3860000600300000000000000000000000000010000004340000059a000002d20000009ef0c187b9f85143f0602520305a0280b431055046080110020000d800000301800001f7c000009b2000006db00000101000",survival,0,4,4,21,33,99
"(4, 4):(0, 0)|(4, 4):1:0x7789","(22, 35):(0, 0)|(22, 35):10:0xc38600001800c00000000000000000000400000041c000001c78000003d00000000602301880a00603002008802200020a28200680aa02c1101540442004a4008200140020004004000010004000021b080000414100000444400000489000",survival,0,4,4,22,35,99
"(4, 4):(0, 0)|(4, 4):1:0x778b","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(4, 4):(0, 0)|(4, 4):1:0x778d","(35, 60):(0, 0)|(35, 60):58:0x30000000000000050000000000000010000000000000000000000000000000000000000000000400000000000001b00000000000000280000000000000080000000000001ac00000000000000e00000000000007c00000000000000c00000000000001c000000000000c0c1800000000009141800000000000dc000000000000064000000000000018000000000000000000000000000000000000000000030000000000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030000000000000028000080000000048000280000000030000180000000020000000000000",survival,0,4,4,35,60,99
"(4, 4):(0, 0)|(4, 4):1:0x778f","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,19
"(4, 4):(0, 0)|(4, 4):1:0x7799","(3, 1):(0, 0)|(3, 1):0:0x7",oscillator,2,4,4,3,1,9
"(4, 4):(0, 0)|(4, 4):1:0x779b","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,4,4,1,3,11
"(4, 4):(0, 0)|(4, 4):1:0x779d","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,48
"(4, 4):(0, 0)|(4, 4):1:0x779e","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,20
"(4, 4):(0, 0)|(4, 4):1:0x779f","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,18
"(4, 4):(0, 0)|(4, 4):1:0x77a9","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,7
"(4, 4):(0, 0)|(4, 4):1:0x77ab","(18, 25):(0, 0)|(18, 25):11:0x400000200040100048000014000004000000000000000000000000000000000000000000000000000000000000000000000031860018c3",survival,0,4,4,18,25,99
"(4, 4):(0, 0)|(4, 4):1:0x77ad","(4, 3):(0, 0)|(4, 3):1:0x56a",stable,0,4,4,4,3,76
"(4, 4):(0, 0)|(4, 4):1:0x77af","(16, 39):(0, 0)|(16, 39):12:0xc00000006180000000c00000001400600000ce00c00000c808000000805000000000a00000000300c0000001018010000010006000002000a60e0040000a0000000004000000005800000000c",survival,0,4,4,16,39,99
"(4, 4):(0, 0)|(4, 4):1:0x77b9","(1, 3):(0, 0)|(1, 3):0:0x7",oscillator,2,4,4,1,3,11
"(4, 4):(0, 0)|(4, 4):1:0x77bb","(19, 29):(0, 0)|(19, 29):11:0x8200000a2800004a4000005000002aa8000214200009120030401063818303925a2d246d9136c0418c1002111080e388e38f28429eed0005bb78003d88800088000e000",survival,0,4,4,19,29,99
"(4, 4):(0, 0)|(4, 4):1:0x77bd","(12, 28):(0, 0)|(12, 28):13:0x4000001e00000020000014000c008006c00000900000060060000009004000600a000000a00000040",survival,0,4,4,12,28,99
"(4, 4):(0, 0)|(4, 4):1:0x77be","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,19
"(4, 4):(0, 0)|(4, 4):1:0x77bf","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,16
"(4, 4):(0, 0)|(4, 4):1:0x77c9","(18, 13):(0, 0)|(18, 13):1:0x1801a0098069837409a06100c000400c00000000000001000800400001c",survival,0,4,4,18,13,99
"(4, 4):(0, 0)|(4, 4):1:0x77cb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,6
"(4, 4):(0, 0)|(4, 4):1:0x77cd","(13, 12):(0, 0)|(13, 12):1:0x600900a00400000000000000000000000003003",stable,0,4,4,13,12,80
"(4, 4):(0, 0)|(4, 4):1:0x77cf","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,5
"(4, 4):(0, 0)|(4, 4):1:0x77d9","(16, 47):(0, 0)|(16, 47):43:0x1c0000000000f40000000029080001000045400003000102c0000a00010500000000000c000000000618100000000840700000000e81300000001806300000000e05280000001c063000000000000300000000000600000000",survival,0,4,4,16,47,99
"(4, 4):(0, 0)|(4, 4):1:0x77db","(20, 25):(0, 0)|(20, 25):20:0xc00000100000a400011000011000000c800003800011860030c098087e0c0c12c0001b000c010002070009010006000005200001a000006000001000",survival,0,4,4,20,25,99
"(4, 4):(0, 0)|(4, 4):1:0x77dd","(17, 25):(0, 0)|(17, 25):12:0x18c3000c618000000000000000000000000000000000000000000000000000000000000004000005000006000000000000007000",survival,0,4,4,17,25,99
"(4, 4):(0, 0)|(4, 4):1:0x77de","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,9
"(4, 4):(0, 0)|(4, 4):1:0x77df","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,6
"(4, 4):(0, 0)|(4, 4):1:0x77e9","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(4, 4):(0, 0)|(4, 4):1:0x77eb","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(4, 4):(0, 0)|(4, 4):1:0x77ed","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(4, 4):(0, 0)|(4, 4):1:0x77ee","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,3
"(4, 4):(0, 0)|(4, 4):1:0x77ef","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,4
"(4, 4):(0, 0)|(4, 4):1:0x77f9","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,7
"(4, 4):(0, 0)|(4, 4):1:0x77fb","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,7
"(4, 4):(0, 0)|(4, 4):1:0x77fd","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,7
"(4, 4):(0, 0)|(4, 4):1:0x77fe","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,4
"(4, 4):(0, 0)|(4, 4):1:0x77ff","(2, 2):(0, 0)|(2, 2):0:0xf",stable,0,4,4,2,2,6
"(4, 4):(0, 0)|(4, 4):1:0x7809","(1, 1):(0, 0)|(1, 1):1:0x0",extinct,0,4,4,1,1,5
"(4, 4):(0, 0)|(4, 4):1:0x780b","(4, 2):(0, 0)|(4, 2):1:0x7e",oscillator,2,4,4,4,2,3
"(4, 4):(0, 0)|(4, 4):1:0x780d","(23, 10):(0, 0)|(23, 10):8:0x30cc30000000000000000000000000000000000000000000030cc300",stable,0,4,4,23,10,68
"(4, 4):(0, 0)|(4, 4):1:0x780f","(3, 3):(0, 0)|(3, 3):1:0xb5",spaceship,4,4,4,3,3,9
